Dispersent_Type,Solid_Content_pct,Solid_Additive_pct,NMC_pct,C65_pct,KS6L_pct,PVDF_pct,Source_Batch,Solid_to_Liquid_Ratio,Binder_to_Active_Ratio,row_index,Composite_Mix_ID,model_name,eta_inf_sisko,k_sisko,n_sisko,curve_rmse,curve_r2,curve_mse
Tego,69.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,38,F1_Tego_69.0_0.5,sisko,0.00010000001837870739,5.486468545765285,0.6852229453451251,0.04490317492650715,0.9993215233075056,0.0020162951184805006
Tego,69.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,39,F1_Tego_69.0_0.25,sisko,0.00010000000000001277,1.775166614629481,0.8432127573236718,0.08654823695218833,0.9418152924190785,0.007490597319532138
Tego,73.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,40,F1_Tego_73.0_0.25,sisko,2.1852829690365887,69.01851703096361,0.18624259767076423,1.1735276191770413e-13,1.0,1.377167072971335e-26
Tego,69.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,41,F1_Tego_69.0_0.5,sisko,0.00010000000006112574,3.267046778101869,0.7551089063147596,0.19983965094395728,0.9440758527726545,0.039935886089402683
Tego,73.0,0.5,97.0,1.5,0.0,1.5,Batch_1,2.7037037036035665,0.015228426395784483,42,F2_Tego_73.0_0.5,sisko,0.6259108207177937,2.005739178824242,0.5812559200330779,6.933640640397064e-10,1.0,4.80753725301658e-19
Tego,73.0,0.5,97.0,1.5,0.0,1.5,Batch_1,2.7037037036035665,0.015228426395784483,43,F2_Tego_73.0_0.5,sisko,0.0001000001167755265,3.1702766302588183,0.8370030886432521,0.024133124392874444,0.9987405304548841,0.0005824076929619514
Tego,73.0,0.5,97.0,1.5,0.0,1.5,Batch_1,2.7037037036035665,0.015228426395784483,44,F2_Tego_73.0_0.5,sisko,0.00010000000881859499,3.4261651679284704,0.811071699556912,0.04366680664301135,0.9970528212620223,0.0019067900023981403
Tego,73.0,0.5,96.0,0.0,2.0,2.0,Batch_1,2.7037037036035665,0.02083333333311632,45,F3_Tego_73.0_0.5,sisko,0.8205686294776243,1.6818913705219423,0.5823666745003124,5.097838034883369e-13,1.0,2.598795262990353e-25
Tego,73.0,0.5,96.0,0.0,2.0,2.0,Batch_1,2.7037037036035665,0.02083333333311632,46,F3_Tego_73.0_0.5,sisko,0.00010000000000970886,5.457596536342073,0.8568211101143957,0.09462859598001473,0.9920058126290409,0.00895457117714886
Tego,73.0,0.5,96.0,0.0,2.0,2.0,Batch_1,2.7037037036035665,0.02083333333311632,47,F3_Tego_73.0_0.5,sisko,0.0001000024474871618,7.4984828562679855,0.8556639490896686,0.14959834853475473,0.989483259576244,0.022379665884325956
Triton,73.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,48,F1_Triton_73.0_0.5,sisko,2.416770537527653,22.80092944006743,0.33462908404068964,1.5222918240615435e-08,1.0,2.317372397604622e-16
Triton,77.0,0.25,96.0,2.0,0.0,2.0,Batch_1,3.347826086810964,0.020408163265097874,49,F1_Triton_77.0_0.25,sisko,3.756521978644126,167.2394781606075,0.24964830103084967,8.536933783994744e-08,1.0,7.287923843231082e-15
Triton,77.0,0.25,96.0,2.0,0.0,2.0,Batch_1,3.347826086810964,0.020408163265097874,50,F1_Triton_77.0_0.25,sisko,4.648485237336959,153.8105147626628,0.21454745031418176,1.7526320730480173e-13,1.0,3.0717191834765903e-26
Triton,69.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,51,F1_Triton_69.0_0.5,sisko,1.3410172895789596,28.139382710402025,0.2015621906590755,1.1476175268660948e-11,1.0,1.3170259879702518e-22
Triton,73.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,52,F1_Triton_73.0_0.5,sisko,2.0901867467564434,87.9428515585397,0.05000000386171754,2.633389784237006,0.9959310139041042,6.9347417557238265
Triton,77.0,0.25,96.0,2.0,0.0,2.0,Batch_1,3.347826086810964,0.020408163265097874,53,F1_Triton_77.0_0.25,sisko,6.028639959931978,318.66535161821065,0.08351859717866426,4.937303038839814e-06,0.9999999999999988,2.437696129733686e-11
