Dispersent_Type,Solid_Content_pct,Solid_Additive_pct,NMC_pct,C65_pct,KS6L_pct,PVDF_pct,Source_Batch,Solid_to_Liquid_Ratio,Binder_to_Active_Ratio,row_index,Composite_Mix_ID,model_name,k_consistency,n_flow,curve_rmse,curve_r2,curve_mse
Triton,73.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,60,F1_Triton_73.0_0.25,power_law,45.62365876798606,0.4480635477794029,3.46655207011304,0.9723668627866396,12.016983254805004
Triton,69.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,61,F1_Triton_69.0_0.5,power_law,8.418942181019439,0.6479875987014867,0.15498336972205276,0.9967880137858921,0.024019844890402504
Triton,77.0,0.5,96.0,2.0,0.0,2.0,Batch_1,3.347826086810964,0.020408163265097874,62,F1_Triton_77.0_0.5,power_law,206.3794117418398,0.31825235763977516,10.317592221273475,0.9881773208775457,106.45270924448293
Triton,73.0,0.5,96.0,0.0,2.0,2.0,Batch_1,2.7037037036035665,0.02083333333311632,63,F3_Triton_73.0_0.5,power_law,3.6800933336724126,0.847045669633546,0.024977380869281005,0.9989510927995756,0.0006238695550891247
Triton,73.0,0.5,96.0,0.0,2.0,2.0,Batch_1,2.7037037036035665,0.02083333333311632,64,F3_Triton_73.0_0.5,power_law,4.628838228733484,0.8807055893988432,0.12374224648331336,0.9749656960810626,0.015312143564737079
Triton,73.0,0.5,96.0,0.0,2.0,2.0,Batch_1,2.7037037036035665,0.02083333333311632,65,F3_Triton_73.0_0.5,power_law,4.889404692652725,0.8738168458633994,0.11923604594794582,0.9808459700239648,0.014217234653300645
Tego,74.0,0.5,96.0,2.0,0.0,2.0,Batch_2,2.8461538460443787,0.020408163265097874,66,F1_Tego_74.0_0.5,power_law,24.303999932770502,0.65690545772462,0.2909011072874929,0.9987531305432248,0.08462345422108945
none,74.0,0.0,96.0,0.0,2.0,2.0,Batch_2,2.8461538460443787,0.02083333333311632,67,F3_none_74.0_0.0,power_law,19.360728238697096,0.7902776276089359,0.667945718288387,0.9799881305909359,0.44615148257978926
Tego,74.0,0.5,96.0,2.0,0.0,2.0,Batch_2,2.8461538460443787,0.020408163265097874,68,F1_Tego_74.0_0.5,power_law,32.102548654269,0.6012926228068909,0.9607461567333708,0.9935990402429719,0.9230331776779428
Triton,77.0,0.0,96.0,2.0,0.0,2.0,Batch_2,3.347826086810964,0.020408163265097874,69,F1_Triton_77.0_0.0,power_law,149.32261925799858,0.44535340258455935,4.388157179801754,0.9950892450233177,19.255923434645677
Tego,69.0,0.25,96.0,2.0,0.0,2.0,Batch_2,2.225806451541103,0.020408163265097874,70,F1_Tego_69.0_0.25,power_law,5.2410971929707,0.7700646129686739,0.0374695771196751,0.9992810538469395,0.0014039692095272798
Tego,74.0,0.0,96.0,2.0,0.0,2.0,Batch_2,2.8461538460443787,0.020408163265097874,71,F1_Tego_74.0_0.0,power_law,75.29914429579667,0.42577330951722714,6.268426193318437,0.9683998219178152,39.29316694108066
Tego,69.0,0.5,97.0,1.5,0.0,1.5,Batch_2,2.225806451541103,0.015228426395784483,72,F2_Tego_69.0_0.5,power_law,1.876068839136333,0.8278969086494024,0.00647568186554396,0.999762007136366,4.19344556237349e-05
Triton,74.0,0.0,96.0,2.0,0.0,2.0,Batch_2,2.8461538460443787,0.020408163265097874,73,F1_Triton_74.0_0.0,power_law,47.37081253512145,0.5186749195566958,2.286489289336571,0.986518464006616,5.228033270250859
Triton,72.0,0.25,96.0,2.0,0.0,2.0,Batch_2,2.571428571336735,0.020408163265097874,74,F1_Triton_72.0_0.25,power_law,26.35960282799354,0.5621261830667377,1.3309455211822023,0.9843465017785765,1.7714159803549643
Triton,69.0,0.5,96.0,2.0,0.0,2.0,Batch_2,2.225806451541103,0.020408163265097874,75,F1_Triton_69.0_0.5,power_law,5.258887758767174,0.802074078362286,0.21343724600073732,0.9700077480293531,0.045555457980379264
Tego,77.0,0.0,96.0,2.0,0.0,2.0,Batch_2,3.347826086810964,0.020408163265097874,76,F1_Tego_77.0_0.0,power_law,216.58840243424189,0.36593814635336025,10.845835484651007,0.9877341661523298,117.63214736011493
Tego,77.0,0.25,97.0,1.5,0.0,1.5,Batch_2,3.347826086810964,0.015228426395784483,77,F2_Tego_77.0_0.25,power_law,92.73982012764931,0.3661133833839019,11.425839603195001,0.942623344158562,130.54981063793932
Tego,74.0,0.25,97.0,1.5,0.0,1.5,Batch_2,2.8461538460443787,0.015228426395784483,78,F2_Tego_74.0_0.25,power_law,15.569603064496913,0.594236410935129,1.2831158300233674,0.9607994009889224,1.6463862332565549
Hypermer,74.0,0.5,96.0,2.0,0.0,2.0,Batch_2,2.8461538460443787,0.020408163265097874,79,F1_Hypermer_74.0_0.5,power_law,28.258448423041123,0.6055101623156618,1.110920140182753,0.9892494993344595,1.234143557863668
Hypermer,72.0,0.25,96.0,2.0,0.0,2.0,Batch_2,2.571428571336735,0.020408163265097874,80,F1_Hypermer_72.0_0.25,power_law,20.205995989643043,0.5954714977620038,1.0175616801073146,0.9834301704081723,1.035431772822821
Tego,72.0,0.0,97.0,1.5,0.0,1.5,Batch_2,2.571428571336735,0.015228426395784483,81,F2_Tego_72.0_0.0,power_law,10.863847683939273,0.5944488628932312,0.9664189188400428,0.9554137893642168,0.9339655266919572
Tego,74.0,0.5,97.0,1.5,0.0,1.5,Batch_2,2.8461538460443787,0.015228426395784483,82,F2_Tego_74.0_0.5,power_law,12.56506677990282,0.6316871992909308,0.6732385147369351,0.9799544746483654,0.4532500977251943
Triton,77.0,0.25,96.0,2.0,0.0,2.0,Batch_2,3.347826086810964,0.020408163265097874,83,F1_Triton_77.0_0.25,power_law,154.46192261603247,0.4300535871422554,3.1569513566782907,0.9975790295722993,9.9663418684329
Hypermer,69.0,0.0,96.0,2.0,0.0,2.0,Batch_2,2.225806451541103,0.020408163265097874,84,F1_Hypermer_69.0_0.0,power_law,3.8823483940594636,0.8444196891258225,0.10186919408629896,0.9834055297089259,0.010377332703792047
Triton,77.0,0.5,96.0,2.0,0.0,2.0,Batch_2,3.347826086810964,0.020408163265097874,85,F1_Triton_77.0_0.5,power_law,140.87651442341567,0.4486451011410529,2.4507676935426668,0.9981908370216498,6.006262287712442
Hypermer,69.0,0.5,96.0,2.0,0.0,2.0,Batch_2,2.225806451541103,0.020408163265097874,86,F1_Hypermer_69.0_0.5,power_law,5.079147786553066,0.7037590233633282,0.2706999040955455,0.9756019555097538,0.07327843807733754
