Dispersent_Type,Solid_Content_pct,Solid_Additive_pct,NMC_pct,C65_pct,KS6L_pct,PVDF_pct,Source_Batch,Solid_to_Liquid_Ratio,Binder_to_Active_Ratio,row_index,Composite_Mix_ID,model_name,eta_0,eta_inf,lambda_time,n_w,curve_rmse,curve_r2,curve_mse
Tego,69.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,38,F1_Tego_69.0_0.5,williamson,9.739961466496158,0.5867190319445866,0.8138922461172537,0.5705304766242599,7.560367419060466e-10,1.0,5.715915551119102e-19
Tego,69.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,39,F1_Tego_69.0_0.25,williamson,1.829221215762129,0.38321596704268596,0.03408091469061574,0.674164142229688,4.6207371453077703e-10,1.0,2.1351211766027004e-19
Tego,73.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,40,F1_Tego_73.0_0.25,williamson,223.36570055783997,2.6930561609641344,2.2707372133296553,0.9729912110728545,1.111381540077452e-09,1.0,1.2351689276249292e-18
Tego,69.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,41,F1_Tego_69.0_0.5,williamson,3.5419621006084885,0.17452116462161207,0.060464261400501366,0.6344565891986768,2.515233169058807e-12,1.0,6.3263978947336095e-24
Tego,73.0,0.5,97.0,1.5,0.0,1.5,Batch_1,2.7037037036035665,0.015228426395784483,42,F2_Tego_73.0_0.5,williamson,5.585756024814681,0.7438322230503437,2.0650906500099406,0.6174717399549342,9.430888710351243e-10,1.0,8.894166186703055e-19
Tego,73.0,0.5,97.0,1.5,0.0,1.5,Batch_1,2.7037037036035665,0.015228426395784483,43,F2_Tego_73.0_0.5,williamson,5.603364294020237,0.5572351818272703,0.8542619767642663,0.33493335313834316,1.8797029034210897e-09,1.0,3.533283005129674e-18
Tego,73.0,0.5,97.0,1.5,0.0,1.5,Batch_1,2.7037037036035665,0.015228426395784483,44,F2_Tego_73.0_0.5,williamson,5.5132280404471485,0.5169625295710594,0.4713280047589654,0.3933454984878827,3.6891301010046257e-10,1.0,1.3609680902138402e-19
Tego,73.0,0.5,96.0,0.0,2.0,2.0,Batch_1,2.7037037036035665,0.02083333333311632,45,F3_Tego_73.0_0.5,williamson,5.4586348005862515,0.9096921417173027,2.854494733893991,0.5895946961517079,6.085568762158799e-12,1.0,3.703414715896298e-23
Tego,73.0,0.5,96.0,0.0,2.0,2.0,Batch_1,2.7037037036035665,0.02083333333311632,46,F3_Tego_73.0_0.5,williamson,7.639330393604421,0.7260141378042727,0.1240135943736059,0.34284807132510453,2.590950394373394e-08,0.9999999999999994,6.713023946103646e-16
Tego,73.0,0.5,96.0,0.0,2.0,2.0,Batch_1,2.7037037036035665,0.02083333333311632,47,F3_Tego_73.0_0.5,williamson,9.920402498962286,1.1012994072302775,0.0914546297765957,0.3734308447813207,1.1993343875318266e-09,1.0,1.4384029731163415e-18
Triton,73.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,48,F1_Triton_73.0_0.5,williamson,80.72307294308673,2.7267740229466306,3.0550715307197986,0.8088873968633824,1.0580657092796012e-07,0.9999999999999999,1.1195030451533455e-14
Triton,77.0,0.25,96.0,2.0,0.0,2.0,Batch_1,3.347826086810964,0.020408163265097874,49,F1_Triton_77.0_0.25,williamson,515.3868409290533,5.482431115909262,2.2219622327006863,0.9177511770348992,5.111568939103497e-09,1.0,2.612813701920765e-17
Triton,77.0,0.25,96.0,2.0,0.0,2.0,Batch_1,3.347826086810964,0.020408163265097874,50,F1_Triton_77.0_0.25,williamson,522.9258164147224,5.874525516013317,2.537975509704414,0.9348810907946117,3.899736539593188e-11,1.0,1.5207945078238252e-21
Triton,69.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,51,F1_Triton_69.0_0.5,williamson,95.28901393489464,1.5542559993395115,2.46588443105736,0.9497389880589421,8.28295558587354e-08,1.0,6.860735323755369e-15
Triton,73.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,52,F1_Triton_73.0_0.5,williamson,641.6746337413229,2.5261316979775144,5.160084472008516,1.0864697474565441,8.996931905173632e-10,1.0,8.094478370633124e-19
Triton,77.0,0.25,96.0,2.0,0.0,2.0,Batch_1,3.347826086810964,0.020408163265097874,53,F1_Triton_77.0_0.25,williamson,1192.1496952384082,7.286342843646635,2.603649035459958,1.0506456936588968,1.275369000934543e-09,1.0,1.6265660885447745e-18
Triton,73.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,54,F1_Triton_73.0_0.25,williamson,670.8084041543021,3.5462223217462343,2.278763101258458,1.1874270198354726,6.723765407294456e-08,1.0,4.520902125232958e-15
Triton,73.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,55,F1_Triton_73.0_0.25,williamson,851.0527929319891,3.765548928963017,4.565748058382085,1.04747870761106,1.3862660711017542e-08,1.0,1.9217336198878938e-16
Triton,69.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,56,F1_Triton_69.0_0.5,williamson,65.63494455137254,1.5206672259599028,1.8822031979567067,0.8677836112323032,8.170635313635997e-09,1.0,6.67592814284356e-17
Triton,77.0,0.5,96.0,2.0,0.0,2.0,Batch_1,3.347826086810964,0.020408163265097874,57,F1_Triton_77.0_0.5,williamson,566.1385137656509,4.840099382551131,2.5517265854536677,0.9252052516647173,2.0121995398795566e-11,1.0,4.0489469882914987e-22
Triton,73.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,58,F1_Triton_73.0_0.5,williamson,243.90725513564942,2.8602236332088338,2.31755794195472,1.028063249279378,6.966141822879964e-08,1.0,4.852713189647738e-15
Triton,77.0,0.5,96.0,2.0,0.0,2.0,Batch_1,3.347826086810964,0.020408163265097874,59,F1_Triton_77.0_0.5,williamson,424.9290751406618,5.213662993629384,2.5706217888727307,0.8477396372826769,1.650236529573607e-06,0.9999999999999991,2.7232806035391428e-12
Triton,73.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,60,F1_Triton_73.0_0.25,williamson,118.34978184330568,3.366897607237895,1.390354690435843,1.0473949010701347,1.9330583534566526e-07,0.9999999999999999,3.7367145978685444e-14
Triton,69.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,61,F1_Triton_69.0_0.5,williamson,14.828657236972147,0.5265815773181148,0.7656931306920967,0.5730381719373862,5.433027367710075e-10,1.0,2.951778637828667e-19
Triton,77.0,0.5,96.0,2.0,0.0,2.0,Batch_1,3.347826086810964,0.020408163265097874,62,F1_Triton_77.0_0.5,williamson,673.7668142058166,6.559261856427751,2.0715832885379295,1.0061500419666443,5.595647681609589e-07,1.0,3.131127297670277e-13
Triton,73.0,0.5,96.0,0.0,2.0,2.0,Batch_1,2.7037037036035665,0.02083333333311632,63,F3_Triton_73.0_0.5,williamson,6.935294299363085,1.2085171757737498,1.9047257305782204,0.4006578353150446,9.37481122393647e-13,1.0,8.78870854844452e-25
Triton,73.0,0.5,96.0,0.0,2.0,2.0,Batch_1,2.7037037036035665,0.02083333333311632,64,F3_Triton_73.0_0.5,williamson,5.347181167409577,0.5892784222995718,0.021232861288679305,0.40424968277903023,1.1022281960966524e-09,1.0,1.2149069962704806e-18
Triton,73.0,0.5,96.0,0.0,2.0,2.0,Batch_1,2.7037037036035665,0.02083333333311632,65,F3_Triton_73.0_0.5,williamson,5.828692939194357,0.768891225795674,0.03510310316410464,0.40127326754934733,1.132797740746631e-08,0.9999999999999998,1.2832307214406714e-16
Tego,74.0,0.5,96.0,2.0,0.0,2.0,Batch_2,2.8461538460443787,0.020408163265097874,66,F1_Tego_74.0_0.5,williamson,43.67730180439045,3.3901567684219343,0.8509345342827975,0.7036579634292189,2.280472180671955e-10,1.0,5.2005533668187016e-20
none,74.0,0.0,96.0,0.0,2.0,2.0,Batch_2,2.8461538460443787,0.02083333333311632,67,F3_none_74.0_0.0,williamson,24.89318972792282,1.2237246929325163,0.10830257912477921,0.4641950137505419,1.3844603322907517e-07,0.9999999999999991,1.9167304116866188e-14
Tego,74.0,0.5,96.0,2.0,0.0,2.0,Batch_2,2.8461538460443787,0.020408163265097874,68,F1_Tego_74.0_0.5,williamson,80.96889074815877,3.633520302817259,1.9089184112713153,0.723238216869354,7.693102599212628e-09,1.0,5.918382760201209e-17
Triton,77.0,0.0,96.0,2.0,0.0,2.0,Batch_2,3.347826086810964,0.020408163265097874,69,F1_Triton_77.0_0.0,williamson,477.9732913224015,7.131408554458011,2.568878318468715,0.8171674349435418,4.658972023807557e-10,1.0,2.1706020318621485e-19
Tego,69.0,0.25,96.0,2.0,0.0,2.0,Batch_2,2.225806451541103,0.020408163265097874,70,F1_Tego_69.0_0.25,williamson,10.323565851353012,0.6718150364747526,1.3495758711838757,0.41152547859584143,2.6872403164351403e-09,1.0,7.221260518274433e-18
Tego,74.0,0.0,96.0,2.0,0.0,2.0,Batch_2,2.8461538460443787,0.020408163265097874,71,F1_Tego_74.0_0.0,williamson,278.160762921349,4.963402723641851,2.3878590755235347,1.0081220010173422,1.315473226770401e-10,1.0,1.730469810349731e-20
Tego,69.0,0.5,97.0,1.5,0.0,1.5,Batch_2,2.225806451541103,0.015228426395784483,72,F2_Tego_69.0_0.5,williamson,3.2569408571854725,0.42939137581426245,0.908268959096816,0.3891462182435325,1.701722793277717e-08,0.9999999999999983,2.8958604651609147e-16
Triton,74.0,0.0,96.0,2.0,0.0,2.0,Batch_2,2.8461538460443787,0.020408163265097874,73,F1_Triton_74.0_0.0,williamson,105.48767086313678,4.325683503046002,1.1948277886161527,0.9235308261516163,1.4746070215275901e-09,1.0,2.1744658679384706e-18
Triton,72.0,0.25,96.0,2.0,0.0,2.0,Batch_2,2.571428571336735,0.020408163265097874,74,F1_Triton_72.0_0.25,williamson,91.67582636141968,2.7852323763256908,3.2220778807205073,0.7788232390808917,3.044214580782058e-08,1.0,9.267242413846083e-16
Triton,69.0,0.5,96.0,2.0,0.0,2.0,Batch_2,2.225806451541103,0.020408163265097874,75,F1_Triton_69.0_0.5,williamson,6.222406602554714,0.3792653013882376,0.0643273899462807,0.5017848770336788,6.10429436007513e-09,1.0,3.726240963444504e-17
Tego,77.0,0.0,96.0,2.0,0.0,2.0,Batch_2,3.347826086810964,0.020408163265097874,76,F1_Tego_77.0_0.0,williamson,793.1369448811744,8.488246638400405,2.6259658965744745,0.9410145449529911,1.174521943969174e-09,1.0,1.3795017968651276e-18
Tego,77.0,0.25,97.0,1.5,0.0,1.5,Batch_2,3.347826086810964,0.015228426395784483,77,F2_Tego_77.0_0.25,williamson,584.0881530814363,5.267462294029411,3.7930040441400754,1.1207344430342394,7.2510635819311985e-09,1.0,5.2577923069208903e-17
Tego,74.0,0.25,97.0,1.5,0.0,1.5,Batch_2,2.8461538460443787,0.015228426395784483,78,F2_Tego_74.0_0.25,williamson,57.57208765836811,2.3424895532440075,3.015568865080135,0.8886610243743633,1.4258275722100796e-08,1.0,2.03298426567449e-16
Hypermer,74.0,0.5,96.0,2.0,0.0,2.0,Batch_2,2.8461538460443787,0.020408163265097874,79,F1_Hypermer_74.0_0.5,williamson,67.75144671197481,3.631479885412491,1.6152306619906147,0.7768992103100285,9.521105264942018e-11,1.0,9.065144546610662e-21
Hypermer,72.0,0.25,96.0,2.0,0.0,2.0,Batch_2,2.571428571336735,0.020408163265097874,80,F1_Hypermer_72.0_0.25,williamson,45.337199349275146,2.719359208229831,1.3005634834063733,0.8600019892734243,3.717757174577695e-08,1.0,1.3821718409123924e-15
Tego,72.0,0.0,97.0,1.5,0.0,1.5,Batch_2,2.571428571336735,0.015228426395784483,81,F2_Tego_72.0_0.0,williamson,39.73234213809841,1.6843033438098105,2.8196656301412832,0.9220492941379792,5.040094136023351e-09,1.0,2.5402548899976966e-17
Tego,74.0,0.5,97.0,1.5,0.0,1.5,Batch_2,2.8461538460443787,0.015228426395784483,82,F2_Tego_74.0_0.5,williamson,28.781971877725052,2.0552726223464246,1.418280398663096,0.836712384264213,2.254468751263133e-10,1.0,5.0826293504219495e-20
Triton,77.0,0.25,96.0,2.0,0.0,2.0,Batch_2,3.347826086810964,0.020408163265097874,83,F1_Triton_77.0_0.25,williamson,428.55364200645624,6.362699571813199,1.97634036075348,0.8300544941087776,1.4703893091727553e-06,0.9999999999999994,2.1620447205295325e-12
Hypermer,69.0,0.0,96.0,2.0,0.0,2.0,Batch_2,2.225806451541103,0.020408163265097874,84,F1_Hypermer_69.0_0.0,williamson,4.859983755453028,0.4827615038436016,0.0669404346623203,0.415463281591318,2.9791476953919967e-08,0.9999999999999986,8.875320990959445e-16
Triton,77.0,0.5,96.0,2.0,0.0,2.0,Batch_2,3.347826086810964,0.020408163265097874,85,F1_Triton_77.0_0.5,williamson,388.3444620233387,6.066333009729629,2.023955966156568,0.8013348225353173,2.7424696794292706e-06,0.9999999999999978,7.521139942588886e-12
Hypermer,69.0,0.5,96.0,2.0,0.0,2.0,Batch_2,2.225806451541103,0.020408163265097874,86,F1_Hypermer_69.0_0.5,williamson,11.820175263370745,1.1878551650751363,1.7099063482691843,0.7720880065805473,3.2656767475762896e-11,1.0,1.0664644619660455e-21
Tego,72.0,0.5,97.0,1.5,0.0,1.5,Batch_2,2.571428571336735,0.015228426395784483,87,F2_Tego_72.0_0.5,williamson,3.328597676135061,0.39271509086815465,0.8191927597707311,0.3610220853080521,4.074246214696217e-09,0.9999999999999999,1.6599482217966457e-17
Tego,77.0,0.5,97.0,1.5,0.0,1.5,Batch_2,3.347826086810964,0.015228426395784483,88,F2_Tego_77.0_0.5,williamson,58.836628770514636,3.8390912138132793,0.8858082196253152,0.7217626286220322,9.785931527310182e-09,1.0,9.57644558572034e-17
Tego,76.0,0.0,96.0,2.0,0.0,2.0,Batch_2,3.1666666665347223,0.020408163265097874,89,F1_Tego_76.0_0.0,williamson,181.0194923387584,5.134292397808557,1.2072078711003051,0.8104214662099171,1.1080030720137708e-07,1.0,1.2276708075919535e-14
Triton,74.0,0.5,96.0,2.0,0.0,2.0,Batch_2,2.8461538460443787,0.020408163265097874,90,F1_Triton_74.0_0.5,williamson,53.99722307371665,3.25880904625344,0.9335017267646979,0.6883085684887755,3.878499273274149e-09,1.0,1.5042756612788098e-17
Tego,77.0,0.0,,,,,Batch_2,3.347826086810964,,91,B_Tego_77.0_0.0,williamson,305.95559663999717,4.755114589980846,1.4577112342299121,0.7557632154978121,1.6178913864432752e-08,1.0,2.6175725383273434e-16
Triton,69.0,0.0,96.0,2.0,0.0,2.0,Batch_2,2.225806451541103,0.020408163265097874,92,F1_Triton_69.0_0.0,williamson,7.8393349945207875,0.7061251647405398,0.6088740387423867,0.37705589447878307,5.026483609875887e-09,1.0,2.5265537480350933e-17
Hypermer,74.0,0.0,96.0,2.0,0.0,2.0,Batch_2,2.8461538460443787,0.020408163265097874,93,F1_Hypermer_74.0_0.0,williamson,66.2564477630255,3.515586390848625,1.1629468862860246,0.7198220865496361,7.614859990252132e-08,1.0,5.798609267114271e-15
Tego,72.0,0.25,97.0,1.5,0.0,1.5,Batch_2,2.571428571336735,0.015228426395784483,94,F2_Tego_72.0_0.25,williamson,14.03796150871158,1.5609495730113025,1.792881565023635,0.7048091283310052,2.500363032924838e-08,0.9999999999999999,6.251815296417095e-16
Tego,74.0,0.5,96.0,2.0,0.0,2.0,Batch_2,2.8461538460443787,0.020408163265097874,95,F1_Tego_74.0_0.5,williamson,107.74204242438184,4.454962537758108,1.006202458552477,1.117995865179078,4.024330560116495e-07,0.9999999999999997,1.6195236457087545e-13
Tego,77.0,0.25,96.0,2.0,0.0,2.0,Batch_2,3.347826086810964,0.020408163265097874,96,F1_Tego_77.0_0.25,williamson,191.42183730978837,8.658569985766196,0.6709330840531456,1.1603208019021303,7.836295152040363e-07,0.9999999999999998,6.140752170989129e-13
Tego,72.0,0.0,96.0,2.0,0.0,2.0,Batch_2,2.571428571336735,0.020408163265097874,97,F1_Tego_72.0_0.0,williamson,83.83548191479603,2.8107937569352344,2.320184683896593,0.8902986084380887,2.397955023020181e-09,1.0,5.750188292427717e-18
Triton,72.0,0.0,96.0,2.0,0.0,2.0,Batch_2,2.571428571336735,0.020408163265097874,98,F1_Triton_72.0_0.0,williamson,107.58117383222958,3.4228623996726557,1.923628560400748,1.0195664021832471,1.6839282975898578e-08,1.0,2.8356145114238764e-16
Tego,69.0,0.5,96.0,2.0,0.0,2.0,Batch_2,2.225806451541103,0.020408163265097874,99,F1_Tego_69.0_0.5,williamson,3.548751708933001,0.32884402210298413,0.019428905410280514,0.45807740144374837,9.622913698015683e-09,0.9999999999999997,9.260046803945788e-17
